amt_price,heatedarea,hometype,fullbaths,halfbaths,District
1270000,4320,Detached single-family,3,1,6
1750000,3962,Detached single-family,4,2,6
2995000,5624,Detached single-family,4,1,6
1925000,4837,Detached single-family,4,2,6
1730000,3166,Detached single-family,3,1,6
2225000,3914,Detached single-family,4,1,6
4600000,6626,Detached single-family,4,2,6
2450000,3665,Detached single-family,4,1,6
1200000,2401,Detached single-family,2,1,6
1680000,2289,Detached single-family,2,1,6
1575000,2780,Detached single-family,2,1,6
1487500,5418,Detached single-family,4,2,6
1225000,3377,Detached single-family,3,1,6
1740000,4659,Detached single-family,5,1,6
1800000,4400,Detached single-family,4,1,6
4400000,7778,Detached single-family,5,3,6
1715000,2626,Detached single-family,3,1,6
1240000,2488,Detached single-family,2,1,6
1475000,2755,Detached single-family,3,0,6
1050000,1916,Detached single-family,2,1,6
1550000,3154,Detached single-family,3,1,6
1800000,3429,Detached single-family,3,0,6
1450000,2784,Detached single-family,2,1,6
1400000,2860,Detached single-family,3,0,6
1365000,2566,Detached single-family,3,0,6
1100000,3722,Detached single-family,3,0,6
1275000,2129,Detached single-family,2,0,6
1500000,3200,Detached single-family,2,1,6
845000,1955,Detached single-family,2,1,6
1500000,4930,Detached single-family,4,1,6
2750000,5086,Detached single-family,3,1,6
1860000,3100,Detached single-family,3,1,6
1540000,4128,Detached single-family,5,0,6
1530000,5364,Detached single-family,3,1,6
1850000,4098,Detached single-family,4,1,6
1400000,3390,Detached single-family,3,1,6
900000,2622,Detached single-family,3,1,6
1350000,3297,Detached single-family,3,1,6
3550000,6783,Detached single-family,6,1,6
2475000,3938,Detached single-family,3,1,6
2895000,6370,Detached single-family,4,1,6
2350000,5481,Detached single-family,3,2,6
971000,2390,Detached single-family,3,0,6
1175000,3493,Detached single-family,3,0,6
1150000,1745,Detached single-family,2,0,6
5175000,7578,Detached single-family,6,2,6
4375000,6365,Detached single-family,4,2,6
1550000,3309,Detached single-family,4,1,6
2319000,5242,Detached single-family,3,1,6
3700000,6687,Detached single-family,4,3,6
3046500,5700,Detached single-family,4,2,6
1750000,4743,Detached single-family,4,1,6
1050000,1948,Detached single-family,2,0,6
1525000,2765,Detached single-family,3,1,6
1400000,2853,Detached single-family,4,0,6
1650000,3388,Detached single-family,3,1,6
920000,3134,Attached single-family,3,1,6
1650000,3368,Attached single-family,3,1,6
1645000,3255,Attached single-family,3,1,6
1962500,3528,Attached single-family,3,1,6
